name,email
Sydney CBD Medical Centre,reception@sydneycbdmedicalcentre.com.au
Observatory Tower Medical Centre,enquiries@otmc.com.au
Boronia Park Doctors,info@boroniaparkdoctors.com.au
One Point Medical,reception@onepointmedical.com.au
Melbourne City Medical Centre,melbournecitymedicalcentre@gmail.com
South Melbourne Medical Hub,admin@southmelbournemedicalhub.com.au
East Brisbane Medical Centre,reception@eastbrisbanemedical.com.au
Queen Street Medical Centre Brisbane,admin@queenstmed.com.au
Next Practice Sydney,sydney@nextpracticehealth.com
Sonder Private Clinic Brisbane,brisbane@sonderprivateclinic.com
DiagnostiCare Radiology Melbourne,info@diagnosticare.com.au
Radiology Imaging Solutions,info@ris.com.au
Melbourne Pathology,ar@mps.com.au
Sydney Dental Surgeons,reception@sydneydentalsurgeons.com.au
Royal Dental Hospital Melbourne,info@dhsv.org.au
The Alignment Studio Melbourne,reception@thealignmentstudio.com.au
Backfocus Physiotherapy Melbourne,info@backfocus.com.au
Healthcare Australia,commcare.enquiries@healthcareaustralia.com.au
Merthyr Medical New Farm,admin@merthyrmedical.com
Dimos Lawyers Melbourne,enquiries@dimos.com.au
Velocity Legal Melbourne,office@velocitylegal.com.au
Coulter Legal Melbourne,info@coulterlegal.com.au
Nevile & Co Lawyers Melbourne,nevileco@nevile.com.au
Goldsmiths Lawyers Melbourne,reception@goldlaw.com.au
Taussig Cherrie Fildes Melbourne,famlaw@tcflawyers.com.au
Danaher Moulton Lawyers Melbourne,info@danahermoulton.com.au
Azure Group Accounting Sydney,ourteam@azuregroup.com.au
Simeoni Accounting Sydney,simeonico@simeoni.com.au
HFB Group Accounting Brisbane,team@hfbgroup.com.au
Rudd Mantell Accounting Brisbane,admin@ruddmantell.com.au
CAAA Accounting Brisbane,admin-brisbane@caaa.biz
Family Clinics Caulfield,fccsmydocs@familyclinics.net
Family Clinics Armadale,mydocs@familyclinics.net
Key Health CBD South Sydney,cbdsouth@keyhealth.com.au
Maroubra Medical Centre Sydney,reception@maroubramc.com.au
SkyArch Medical Clinic Brisbane,reception@skyarchmedicalclinic.com.au
Wishart Medical Centre Brisbane,info@wishartmedicalcentre.com.au
CBD Doctors Melbourne,reception@cbddocs.com.au
Epworth Freemasons GP Health Clinic Melbourne,healthclinics@epworth.org.au
The General Practice Melbourne Camberwell,thegpmelbourne@outlook.com
Collins Street Medical Centre Melbourne,collinsstreet.mc@partneredhealth.com.au
Victoria Harbour Medical Centre Melbourne,admin@vhmc.com.au
Fitzroy North Medical Clinic,reception@fitzroynorthmedical.com.au
Inner North Medical Clinic Melbourne,clinic@innernorthmedical.com.au
La Trobe Street Medical Melbourne,info@ltsmedical.com.au
Medical One QV Melbourne,infoqv@medicalone.com.au
Park Sydney Medical Practice,info@parksydneymedical.com.au
